,Attack,Adv_param,Defence,FPR,Acc_on_adv
0,apgd,0.05,baard_2stage,10.75268817204301,89.24731182795699
1,apgd,0.05,baard_3stage,11.827956989247312,89.24731182795699
2,apgd,0.05,lid,0.0,82.79569892473118
3,apgd,0.05,rc,1.0752688172043012,82.79569892473118
4,apgd,0.2,baard_2stage,10.75268817204301,84.94623655913979
5,apgd,0.2,baard_3stage,11.827956989247312,86.02150537634408
6,apgd,0.2,lid,3.225806451612903,23.655913978494624
7,apgd,0.2,rc,1.0752688172043012,5.376344086021505
8,apgd,0.4,baard_2stage,10.75268817204301,97.84946236559139
9,apgd,0.4,baard_3stage,11.827956989247312,97.84946236559139
10,apgd,0.4,lid,1.0752688172043012,47.31182795698925
11,apgd,0.4,rc,1.0752688172043012,0.0
12,apgd,1.0,baard_2stage,10.75268817204301,100.0
13,apgd,1.0,baard_3stage,11.827956989247312,100.0
14,apgd,1.0,lid,0.0,33.33333333333333
15,apgd,1.0,rc,0.0,0.0
16,apgd2,0.4,baard_2stage,10.75268817204301,74.19354838709677
17,apgd2,0.4,baard_3stage,11.827956989247312,78.49462365591397
18,apgd2,0.4,lid,3.225806451612903,61.29032258064516
19,apgd2,0.4,rc,2.1505376344086025,60.215053763440864
20,apgd2,1.0,baard_2stage,10.75268817204301,58.06451612903226
21,apgd2,1.0,baard_3stage,11.827956989247312,58.06451612903226
22,apgd2,1.0,lid,3.225806451612903,12.903225806451612
23,apgd2,1.0,rc,1.0752688172043012,4.301075268817205
24,apgd2,2.0,baard_2stage,10.75268817204301,87.09677419354838
25,apgd2,2.0,baard_3stage,11.827956989247312,87.09677419354838
26,apgd2,2.0,lid,1.0752688172043012,66.66666666666666
27,apgd2,2.0,rc,1.0752688172043012,0.0
28,apgd2,3.0,baard_2stage,10.75268817204301,100.0
29,apgd2,3.0,baard_3stage,11.827956989247312,100.0
30,apgd2,3.0,lid,0.0,62.365591397849464
31,apgd2,3.0,rc,1.0752688172043012,0.0
32,boundary,,baard_2stage,10.75268817204301,87.09677419354838
33,boundary,,baard_3stage,11.827956989247312,95.6989247311828
34,boundary,,lid,3.225806451612903,59.13978494623656
35,boundary,,rc,1.0752688172043012,68.81720430107528
36,cw2,0.0,baard_2stage,10.75268817204301,70.96774193548387
37,cw2,0.0,baard_3stage,11.827956989247312,92.47311827956989
38,cw2,0.0,lid,3.225806451612903,22.58064516129032
39,cw2,0.0,rc,1.0752688172043012,74.19354838709677
40,cw2,5.0,baard_2stage,10.75268817204301,48.38709677419355
41,cw2,5.0,baard_3stage,11.827956989247312,48.38709677419355
42,cw2,5.0,lid,1.0752688172043012,10.75268817204301
43,cw2,5.0,rc,1.0752688172043012,7.526881720430108
44,cw2,10.0,baard_2stage,10.75268817204301,83.87096774193549
45,cw2,10.0,baard_3stage,11.827956989247312,83.87096774193549
46,cw2,10.0,lid,0.0,66.66666666666666
47,cw2,10.0,rc,1.0752688172043012,7.526881720430108
48,deepfool,1e-06,baard_2stage,10.75268817204301,84.94623655913979
49,deepfool,1e-06,baard_3stage,11.827956989247312,89.24731182795699
50,deepfool,1e-06,lid,0.0,68.81720430107528
51,deepfool,1e-06,rc,1.0752688172043012,3.225806451612903
52,fgsm,0.05,baard_2stage,10.75268817204301,89.24731182795699
53,fgsm,0.05,baard_3stage,11.827956989247312,89.24731182795699
54,fgsm,0.05,lid,0.0,82.79569892473118
55,fgsm,0.05,rc,1.0752688172043012,82.79569892473118
56,fgsm,0.2,baard_2stage,10.75268817204301,92.47311827956989
57,fgsm,0.2,baard_3stage,11.827956989247312,92.47311827956989
58,fgsm,0.2,lid,1.0752688172043012,22.58064516129032
59,fgsm,0.2,rc,1.0752688172043012,7.526881720430108
60,fgsm,0.4,baard_2stage,10.75268817204301,98.9247311827957
61,fgsm,0.4,baard_3stage,11.827956989247312,98.9247311827957
62,fgsm,0.4,lid,2.1505376344086025,51.61290322580645
63,fgsm,0.4,rc,1.0752688172043012,0.0
64,fgsm,1.0,baard_2stage,10.75268817204301,100.0
65,fgsm,1.0,baard_3stage,11.827956989247312,100.0
66,fgsm,1.0,lid,0.0,87.09677419354838
67,fgsm,1.0,rc,1.0752688172043012,0.0
